sepal_length, sepal_width, petal_length, petal_width, class
4.9,3.1,1.5,0.1,Iris-setosa
6.2,2.2,4.5,1.5,Iris-versicolor
6.3,3.4,5.6,2.4,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
6.3,2.3,4.4,1.3,Iris-versicolor
6.0,3.0,4.8,1.8,Iris-virginica
5.7,2.8,4.5,1.3,Iris-versicolor
5.0,3.5,1.6,0.6,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa
5.4,3.0,4.5,1.5,Iris-versicolor
5.1,3.5,1.4,0.3,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
5.8,2.7,3.9,1.2,Iris-versicolor
4.4,2.9,1.4,0.2,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
5.7,2.8,4.1,1.3,Iris-versicolor
